runname	sdlen	sim	chunklen	strand	id	tp	tn
run_32768_64_0.99_+	32768	0.99	64	+	0.87962	0.81635	0.99998
run_65536_64_0.99_+	65536	0.99	64	+	0.90946	0.82733	1
run_64_128_0.99_+	64	0.99	128	+	0.96914	0.73297	0.99802
run_128_128_0.99_+	128	0.99	128	+	0.96923	0.8425	0.99824
run_256_128_0.99_+	256	0.99	128	+	0.97384	0.91411	0.99822
run_512_128_0.99_+	512	0.99	128	+	0.97945	0.95096	0.99878
run_1024_128_0.99_+	1024	0.99	128	+	0.98716	0.97532	0.999
run_2048_128_0.99_+	2048	0.99	128	+	0.99411	0.98985	0.99967
run_4096_128_0.99_+	4096	0.99	128	+	0.99711	0.9955	0.9996
run_8192_128_0.99_+	8192	0.99	128	+	0.99825	0.99733	0.99976
run_16384_128_0.99_+	16384	0.99	128	+	0.99891	0.99823	0.9999
run_32768_128_0.99_+	32768	0.99	128	+	0.99892	0.99837	0.99995
run_65536_128_0.99_+	65536	0.99	128	+	0.99975	0.99953	1
run_64_256_0.99_+	64	0.99	256	+	0.97508	0.79093	0.99759
run_128_256_0.99_+	128	0.99	256	+	0.97777	0.89063	0.99772
run_256_256_0.99_+	256	0.99	256	+	0.98481	0.95302	0.99779
run_512_256_0.99_+	512	0.99	256	+	0.98904	0.97542	0.99828
run_1024_256_0.99_+	1024	0.99	256	+	0.9934	0.98813	0.99868
run_2048_256_0.99_+	2048	0.99	256	+	0.99699	0.99502	0.99954
run_4096_256_0.99_+	4096	0.99	256	+	0.99832	0.99756	0.99949
run_8192_256_0.99_+	8192	0.99	256	+	0.9994	0.99923	0.99968
run_16384_256_0.99_+	16384	0.99	256	+	0.9997	0.99959	0.99986
run_32768_256_0.99_+	32768	0.99	256	+	0.99982	0.99975	0.99995
run_65536_256_0.99_+	65536	0.99	256	+	0.99979	0.9996	1
run_64_512_0.99_+	64	0.99	512	+	0.95938	0.64389	0.99795
run_128_512_0.99_+	128	0.99	512	+	0.94306	0.7028	0.99806
run_256_512_0.99_+	256	0.99	512	+	0.94161	0.80318	0.99813
run_512_512_0.99_+	512	0.99	512	+	0.96658	0.91957	0.99848
run_1024_512_0.99_+	1024	0.99	512	+	0.98734	0.97597	0.99873
run_2048_512_0.99_+	2048	0.99	512	+	0.99829	0.99736	0.9995
run_4096_512_0.99_+	4096	0.99	512	+	0.9992	0.99905	0.99945
run_8192_512_0.99_+	8192	0.99	512	+	0.99976	0.99984	0.99963
run_16384_512_0.99_+	16384	0.99	512	+	0.99979	0.99974	0.99986
run_32768_512_0.99_+	32768	0.99	512	+	0.99982	0.99975	0.99995
run_65536_512_0.99_+	65536	0.99	512	+	0.9998	0.99963	1
run_64_1024_0.99_+	64	0.99	1024	+	0.9513	0.56805	0.99816
run_128_1024_0.99_+	128	0.99	1024	+	0.92247	0.59141	0.99825
run_256_1024_0.99_+	256	0.99	1024	+	0.89594	0.64504	0.99837
run_512_1024_0.99_+	512	0.99	1024	+	0.88734	0.72326	0.99868
run_1024_1024_0.99_+	1024	0.99	1024	+	0.64851	0.94936	0.34742
run_2048_1024_0.99_+	2048	0.99	1024	+	0.97333	0.95316	0.99958
run_4096_1024_0.99_+	4096	0.99	1024	+	0.9971	0.99556	0.99947
run_8192_1024_0.99_+	8192	0.99	1024	+	0.99976	0.99984	0.99963
run_16384_1024_0.99_+	16384	0.99	1024	+	0.99983	0.9998	0.99986
run_32768_1024_0.99_+	32768	0.99	1024	+	0.99985	0.99979	0.99995
run_65536_1024_0.99_+	65536	0.99	1024	+	0.9998	0.99963	1
run_64_2048_0.99_+	64	0.99	2048	+	0.92789	0.34726	0.99887
run_128_2048_0.99_+	128	0.99	2048	+	0.8841	0.38273	0.99888
run_256_2048_0.99_+	256	0.99	2048	+	0.84409	0.46503	0.99884
run_512_2048_0.99_+	512	0.99	2048	+	0.83683	0.59796	0.99891
run_1024_2048_0.99_+	1024	0.99	2048	+	0.86271	0.72648	0.99904
run_2048_2048_0.99_+	2048	0.99	2048	+	0.90547	0.83315	0.9996
run_4096_2048_0.99_+	4096	0.99	2048	+	0.97196	0.95405	0.99955
run_8192_2048_0.99_+	8192	0.99	2048	+	0.99556	0.99306	0.99969
run_16384_2048_0.99_+	16384	0.99	2048	+	0.99994	1	0.99986
run_32768_2048_0.99_+	32768	0.99	2048	+	0.99994	0.99994	0.99995
run_65536_2048_0.99_+	65536	0.99	2048	+	0.9999	0.99981	0.99999
run_64_4096_0.99_+	64	0.99	4096	+	0.90961	0.17482	0.99944
run_128_4096_0.99_+	128	0.99	4096	+	0.84913	0.19258	0.99943
run_256_4096_0.99_+	256	0.99	4096	+	0.77729	0.23324	0.9994
run_512_4096_0.99_+	512	0.99	4096	+	0.71957	0.30713	0.99943
run_1024_4096_0.99_+	1024	0.99	4096	+	0.7609	0.52267	0.99933
run_2048_4096_0.99_+	2048	0.99	4096	+	0.81056	0.66525	0.9997
run_4096_4096_0.99_+	4096	0.99	4096	+	0.89875	0.83329	0.9996
run_8192_4096_0.99_+	8192	0.99	4096	+	0.96517	0.94424	0.99972
run_16384_4096_0.99_+	16384	0.99	4096	+	0.99479	0.99125	0.99989
run_32768_4096_0.99_+	32768	0.99	4096	+	0.99994	0.99994	0.99995
run_65536_4096_0.99_+	65536	0.99	4096	+	0.99999	1	0.99999
run_64_64_0.95_+	64	0.95	64	+	0.89364	0.02407	0.99995
run_128_64_0.95_+	128	0.95	64	+	0.85895	0.243	0.99996
run_256_64_0.95_+	256	0.95	64	+	0.76885	0.20303	0.99986
run_512_64_0.95_+	512	0.95	64	+	0.67535	0.19698	0.99998
run_1024_64_0.95_+	1024	0.95	64	+	0.60934	0.21907	0.99997
run_2048_64_0.95_+	2048	0.95	64	+	0.55627	0.21547	0.99992
run_4096_64_0.95_+	4096	0.95	64	+	0.53631	0.23534	0.99998
run_8192_64_0.95_+	8192	0.95	64	+	0.52005	0.22926	1
run_16384_64_0.95_+	16384	0.95	64	+	0.54795	0.23368	1
run_32768_64_0.95_+	32768	0.95	64	+	0.49288	0.22626	1
run_65536_64_0.95_+	65536	0.95	64	+	0.59778	0.23288	1
run_64_128_0.95_+	64	0.95	128	+	0.89978	0.08221	0.99974
run_128_128_0.95_+	128	0.95	128	+	0.92488	0.60211	0.99877
run_256_128_0.95_+	256	0.95	128	+	0.90163	0.66419	0.99857
run_512_128_0.95_+	512	0.95	128	+	0.85895	0.65142	0.99978
run_1024_128_0.95_+	1024	0.95	128	+	0.87961	0.75965	0.99968
run_2048_128_0.95_+	2048	0.95	128	+	0.86032	0.7532	0.99977
run_4096_128_0.95_+	4096	0.95	128	+	0.88082	0.80359	0.9998
run_8192_128_0.95_+	8192	0.95	128	+	0.87757	0.80343	0.99993
run_16384_128_0.95_+	16384	0.95	128	+	0.88155	0.79922	0.99998
run_32768_128_0.95_+	32768	0.95	128	+	0.87175	0.80432	1
run_65536_128_0.95_+	65536	0.95	128	+	0.89872	0.80684	1
run_64_256_0.95_+	64	0.95	256	+	0.9014	0.09756	0.99968
run_128_256_0.95_+	128	0.95	256	+	0.9509	0.74501	0.99804
run_256_256_0.95_+	256	0.95	256	+	0.96999	0.9014	0.99799
run_512_256_0.95_+	512	0.95	256	+	0.9459	0.86706	0.9994
run_1024_256_0.95_+	1024	0.95	256	+	0.96626	0.93313	0.99943
run_2048_256_0.95_+	2048	0.95	256	+	0.99304	0.98801	0.99958
run_4096_256_0.95_+	4096	0.95	256	+	0.98886	0.98189	0.99961
run_8192_256_0.95_+	8192	0.95	256	+	0.98947	0.98317	0.99986
run_16384_256_0.95_+	16384	0.95	256	+	0.9942	0.99021	0.99993
run_32768_256_0.95_+	32768	0.95	256	+	0.9947	0.99191	1
run_65536_256_0.95_+	65536	0.95	256	+	0.99586	0.9921	1
run_64_512_0.95_+	64	0.95	512	+	0.89951	0.07981	0.99972
run_128_512_0.95_+	128	0.95	512	+	0.927	0.61577	0.99825
run_256_512_0.95_+	256	0.95	512	+	0.92938	0.76075	0.99822
run_512_512_0.95_+	512	0.95	512	+	0.93732	0.84591	0.99935
run_1024_512_0.95_+	1024	0.95	512	+	0.97421	0.94911	0.99933
run_2048_512_0.95_+	2048	0.95	512	+	0.99677	0.99465	0.99954
run_4096_512_0.95_+	4096	0.95	512	+	0.99562	0.99309	0.99951
run_8192_512_0.95_+	8192	0.95	512	+	0.99483	0.99187	0.9997
run_16384_512_0.95_+	16384	0.95	512	+	0.99726	0.99541	0.99993
